,BT_idf1,BT_idp,BT_idr,BT_recall,BT_precision,BT_num_unique_objects,BT_mostly_tracked,BT_partially_tracked,BT_mostly_lost,BT_num_false_positives,BT_num_misses,BT_num_switches,BT_num_fragmentations,BT_mota,BT_motp,BT_num_transfer,BT_num_ascend,BT_num_migrate,DS_idf1,DS_idp,DS_idr,DS_recall,DS_precision,DS_num_unique_objects,DS_mostly_tracked,DS_partially_tracked,DS_mostly_lost,DS_num_false_positives,DS_num_misses,DS_num_switches,DS_num_fragmentations,DS_mota,DS_motp,DS_num_transfer,DS_num_ascend,DS_num_migrate
148-5_1138474,0.088,0.7857142857142857,0.0466101694915254,0.059322033898305,1.0,7,0,0,7,0,222,5,4,0.0381355932203389,0.025696804411127,1,3,0,0.1245136186770428,0.7619047619047619,0.0677966101694915,0.0889830508474576,1.0,7,0,1,6,0,215,4,5,0.0720338983050847,0.2399867879132655,0,4,0
176-5_1138951,0.245331616226658,0.407051282051282,0.1755760368663594,0.4271889400921659,0.9903846153846154,15,2,8,5,9,1243,77,89,0.3875576036866359,0.0546481881780754,6,69,1,0.5473484848484849,0.8687374749498998,0.3995391705069124,0.4516129032258064,0.9819639278557114,15,2,7,6,18,1190,9,41,0.4391705069124424,0.2078506601763399,1,9,1
3_1142721,0.1971014492753623,0.430379746835443,0.1278195488721804,0.2218045112781954,0.7468354430379747,3,0,2,1,20,207,6,11,0.1240601503759398,0.0507227862388418,0,6,0,0.2135922330097087,0.7674418604651163,0.1240601503759398,0.1278195488721804,0.7906976744186046,3,0,1,2,9,232,1,3,0.0902255639097744,0.2298928371596456,0,1,0
21-5_1254799,0.2315145334013258,0.6796407185628742,0.1395205900430239,0.2052858020897357,1.0,35,3,7,25,0,1293,21,30,0.1923786109403811,0.0340843729518351,2,20,2,0.1788008565310492,0.6929460580912863,0.1026429010448678,0.1438229870928088,0.970954356846473,35,0,8,27,7,1393,8,15,0.1346035648432698,0.1545977962048853,1,8,1
128-5_1135999,0.3783783783783784,0.3888888888888889,0.3684210526315789,0.8421052631578947,0.8888888888888888,1,1,0,0,6,9,3,3,0.6842105263157895,0.04852226128268,0,3,0,0.991304347826087,0.9827586206896552,1.0,1.0,0.9827586206896552,1,1,0,0,1,0,0,0,0.9824561403508772,0.1655969818414284,0,0,0
2-5_1273145,0.0470588235294117,0.5,0.0246913580246913,0.0493827160493827,1.0,2,0,0,2,0,154,3,3,0.0308641975308642,0.0598419673815733,0,2,0,0.0941176470588235,1.0,0.0493827160493827,0.0493827160493827,1.0,2,0,0,2,0,154,0,1,0.0493827160493827,0.1101620944165031,0,0,0
203-5_1140485,0.0594713656387665,0.4821428571428571,0.0316901408450704,0.0657276995305164,1.0,6,0,0,6,0,796,16,17,0.0469483568075117,0.0795099558272529,1,15,0,0.079913606911447,0.5,0.0434272300469483,0.0575117370892018,0.6621621621621622,6,0,0,6,25,803,2,10,0.0258215962441314,0.2142072699964944,0,2,0
101_1_1135531,0.7036328871892925,0.9484536082474226,0.5592705167173252,0.5896656534954408,1.0,14,4,7,3,0,135,5,8,0.574468085106383,0.0494829816227738,1,3,0,0.5907172995780591,0.9655172413793104,0.425531914893617,0.4407294832826747,1.0,14,3,6,5,0,184,2,7,0.4346504559270516,0.144855033852626,0,2,0
223-5_1142456,0.3496143958868895,0.5666666666666667,0.2527881040892193,0.4460966542750929,1.0,2,0,2,0,0,149,7,11,0.4200743494423792,0.0618451403030976,0,7,0,0.3342465753424657,0.6354166666666666,0.2267657992565055,0.3420074349442379,0.9583333333333334,2,0,1,1,4,177,4,10,0.312267657992565,0.2204761699593833,0,4,0
215-5_1140786,0.7442827442827443,0.895,0.6370106761565836,0.7117437722419929,1.0,10,2,5,3,0,81,5,5,0.693950177935943,0.0430096651982412,0,5,0,0.8893280632411067,1.0,0.800711743772242,0.800711743772242,1.0,10,4,3,3,0,56,0,1,0.800711743772242,0.1512649979781695,0,0,0
133-5_1136080,0.1972386587771203,0.2793296089385474,0.1524390243902439,0.5060975609756098,0.9273743016759776,2,0,2,0,13,162,11,9,0.4329268292682927,0.0210563888998758,1,8,0,0.2898550724637681,0.4516129032258064,0.2134146341463414,0.4481707317073171,0.9483870967741936,2,0,2,0,8,181,5,9,0.4085365853658537,0.2314773939434817,0,5,0
102_1_1135554,0.58,0.8405797101449275,0.4427480916030534,0.5267175572519084,1.0,9,3,3,3,0,124,3,5,0.5152671755725191,0.0322942744354306,0,3,0,0.5969387755102041,0.9,0.4465648854961832,0.4885496183206106,0.9846153846153848,9,1,5,3,2,134,1,3,0.4770992366412213,0.1620460079503992,0,1,0
222-5_1142437,0.2513812154696133,0.2964169381107492,0.2182254196642686,0.709832134292566,0.9641693811074918,2,0,2,0,11,121,23,25,0.6282973621103117,0.0308082756557673,1,22,0,0.3813682678311499,0.4851851851851851,0.3141486810551558,0.6402877697841727,0.9888888888888888,2,0,2,0,3,150,14,18,0.5995203836930456,0.130654034903169,0,14,0
14_2_1143006,0.3726708074534161,0.7692307692307693,0.2459016393442623,0.319672131147541,1.0,3,0,2,1,0,83,4,6,0.2868852459016393,0.0406535857581828,0,4,0,0.2631578947368421,0.6666666666666666,0.1639344262295081,0.2459016393442623,1.0,3,0,2,1,0,92,5,6,0.2049180327868852,0.129940855201511,1,4,0
137-5_1137439,0.0606060606060606,0.8,0.0314960629921259,0.0341207349081364,0.8666666666666667,8,0,0,8,4,736,2,2,0.026246719160105,0.018113005979925,0,2,0,0.0461538461538461,1.0,0.0236220472440944,0.0236220472440944,1.0,8,0,0,8,0,744,0,1,0.0236220472440944,0.1351683789658695,0,0,0
200-5_1140454,0.3026315789473684,0.4259259259259259,0.2346938775510204,0.5306122448979592,0.9629629629629628,2,0,1,1,2,46,2,4,0.4897959183673469,0.1319612507695247,0,2,0,0.3289473684210526,0.4629629629629629,0.2551020408163265,0.2551020408163265,0.4629629629629629,2,0,1,1,29,73,0,2,-0.0408163265306122,0.2497713098416791,0,0,0
136-5_1137402,0.0371352785145888,0.4666666666666667,0.0193370165745856,0.0414364640883977,1.0,4,0,0,4,0,347,3,5,0.0331491712707182,0.0265920014707825,0,3,0,0.0109289617486338,0.5,0.005524861878453,0.011049723756906,1.0,4,0,0,4,0,358,2,2,0.005524861878453,0.3219184194076934,0,2,0
228_1142481,0.3346456692913386,0.8018867924528302,0.2114427860696517,0.2512437810945274,0.9528301886792452,5,0,2,3,5,301,7,14,0.2213930348258707,0.0374194227767066,0,7,0,0.2909090909090909,0.7741935483870968,0.1791044776119403,0.2313432835820895,1.0,5,0,2,3,0,309,2,6,0.2263681592039801,0.1705700942107276,0,2,0
207-5_1140680,0.1538461538461538,0.3333333333333333,0.1,0.3,1.0,2,0,2,0,0,119,6,9,0.2647058823529411,0.0699305541563276,0,6,0,0.1372549019607843,0.4117647058823529,0.0823529411764705,0.1764705882352941,0.8823529411764706,2,0,1,1,4,140,5,8,0.1235294117647058,0.2668295858809823,0,5,0
14-5_1254359,0.0294117647058823,1.0,0.0149253731343283,0.0149253731343283,1.0,6,0,1,5,0,132,0,0,0.0149253731343284,0.0161586637397369,0,0,0,0.0291970802919708,0.6666666666666666,0.0149253731343283,0.0149253731343283,0.6666666666666666,6,0,1,5,1,132,0,0,0.0074626865671642,0.2514569338518725,0,0,0
221_1142434,0.4795918367346938,0.6103896103896104,0.3949579831932773,0.6050420168067226,0.935064935064935,2,0,2,0,5,47,10,9,0.4789915966386554,0.0202305254648908,0,9,0,0.4943820224719101,0.7457627118644068,0.3697478991596639,0.4873949579831932,0.9830508474576272,2,0,2,0,1,61,5,5,0.4369747899159664,0.1551055012486061,1,4,0
115-5_1135681,0.4869109947643979,0.7622950819672131,0.3576923076923077,0.4692307692307692,1.0,6,1,2,3,0,138,9,12,0.4346153846153846,0.0750079703368079,0,7,0,0.3646408839779005,0.6470588235294118,0.2538461538461538,0.3884615384615384,0.9901960784313726,6,1,2,3,1,159,3,6,0.3730769230769231,0.1535252492733335,0,3,0
129-5_1136012,0.1103448275862069,0.3076923076923077,0.0672268907563025,0.2016806722689075,0.9230769230769232,4,0,1,3,2,95,4,4,0.1512605042016807,0.0605956925538612,0,4,0,0.1343283582089552,0.6,0.0756302521008403,0.1176470588235294,0.9333333333333332,4,0,1,3,1,105,2,3,0.0924369747899159,0.3220485588661866,0,2,0
112-5_1135675,0.0409448818897637,1.0,0.0209003215434083,0.0209003215434083,1.0,6,0,0,6,0,609,0,0,0.0209003215434083,0.0402665244928096,0,0,0,0.0,0.0,0.0,0.0,0.0,6,0,0,6,9,622,0,0,-0.0144694533762057,,0,0,0
29-5-1_1271001,0.1851851851851851,0.7926829268292683,0.1048387096774193,0.1274193548387096,0.9634146341463414,59,5,8,46,6,1082,8,7,0.1161290322580644,0.0658448503310338,3,6,1,0.2131616595135908,0.9430379746835444,0.1201612903225806,0.1233870967741935,0.9683544303797468,59,3,8,48,5,1087,3,3,0.1169354838709677,0.1300794610632447,1,3,1
44-5_1142983,0.0269662921348314,0.75,0.0137299771167048,0.0160183066361556,0.875,6,0,0,6,1,430,1,1,0.0114416475972539,0.0398064001557141,0,1,0,0.0134831460674157,0.375,0.0068649885583524,0.0091533180778032,0.5,6,0,0,6,4,433,1,1,-0.0022883295194509,0.1701827476084665,0,1,0
212-5_1140774,0.4563106796116505,0.5356125356125356,0.3974630021141649,0.6300211416490487,0.8490028490028491,3,1,1,1,53,175,10,12,0.4968287526427061,0.0951809737416279,0,9,0,0.6079182630906769,0.7677419354838709,0.5031712473572939,0.5602536997885835,0.8548387096774194,3,1,1,1,45,208,4,9,0.4566596194503171,0.2164526555432827,0,3,0
54.2-5_1142939,0.4811320754716981,0.75,0.3541666666666667,0.4722222222222222,1.0,2,0,2,0,0,76,5,9,0.4375,0.0182502254376519,0,5,0,0.4509803921568627,0.7666666666666667,0.3194444444444444,0.4166666666666667,1.0,2,0,2,0,0,84,3,5,0.3958333333333333,0.1657605029685597,0,3,0
36-5_1271134,0.3735343383584589,0.6211699164345403,0.267065868263473,0.3940119760479041,0.9164345403899722,10,2,4,4,30,506,10,23,0.3461077844311377,0.0372123667330381,0,10,0,0.4149908592321755,0.8764478764478765,0.2718562874251497,0.2994011976047904,0.9652509652509652,10,1,2,7,9,585,4,12,0.2838323353293412,0.2318190372025259,1,4,1
